,TMP,OXYGEN,SAL,TCARBN,ALKALI,PHSPHT,SILCAT,PRS,PH
61846,1.6483,139.7,34.669399,2331.4,2422.7,2.6,143.11,2800.6,7.5770001
61847,1.5959,143.1,34.673698,2331.0,2420.3,2.58,143.55,3000.0,7.5819998
61849,1.5849,144.8,34.676201,2331.0,2425.9,2.55,142.82,3250.6,7.5869999
61850,1.5514,148.2,34.680401,2328.7,2427.3,2.55,143.09,3500.0,7.5939999
61851,1.5538,148.7,34.681198,2328.5,2427.3,2.55,143.08,3619.3,7.5939999
61852,1.5551,148.9,34.681099,2328.2,2429.6,2.55,143.02,3626.4,7.5939999
61853,29.7913,195.5,34.179401,1900.7,2252.0,0.14,0.81,10.6,8.1499996
61855,30.0888,196.8,34.7048,1927.5,2288.6,0.17,0.72,50.4,8.1429996
61856,26.0722,145.7,35.2551,2034.0,2319.4,0.62,2.55,99.8,8.0050001
61857,23.2234,132.8,35.5103,2083.3,2336.5,0.79,3.12,150.6,7.948
61858,17.8174,137.9,35.414799,2122.0,2332.6,1.04,5.59,199.8,7.8590002
61859,13.8759,146.2,35.0709,2146.2,2320.4,1.3,10.86,250.1,7.7930002
61860,11.2439,139.3,34.840698,2168.3,2314.2,1.6,17.17,299.6,7.724
61862,9.8193,99.1,34.715302,2208.2,2310.9,2.05,26.23,400.1,7.618
61863,8.1894,135.2,34.611599,2202.0,2311.4,2.05,29.06,500.3,7.638
61864,6.713,106.8,34.551701,2240.9,2321.7,2.44,44.27,600.3,7.5640001
61865,6.0075,94.4,34.544399,2261.9,2331.2,2.63,55.68,700.7,7.5300002
61866,5.454,102.2,34.536701,2263.5,2337.4,2.63,62.22,800.4,7.5380001
61867,4.8395,105.9,34.541401,2274.0,2348.6,2.65,74.06,902.0,7.5380001
61868,4.4198,101.1,34.552898,2290.1,2359.3,2.73,84.11,1001.7,7.5279999
61869,3.8184,104.5,34.5686,2300.7,2373.4,2.75,96.03,1200.2,7.5289998
61870,3.1969,107.9,34.5928,2316.3,2389.7,2.76,110.6,1399.3,7.5310001
61871,2.7232,110.6,34.6138,2331.4,2403.4,2.75,123.06,1599.7,7.5349998
61872,2.4024,116.7,34.629501,2333.0,2408.9,2.73,129.46,1800.4,7.5450001
61874,2.2267,118.1,34.638802,2336.0,2411.2,2.73,134.65,1999.8,7.7810001
61875,2.0816,122.8,34.645599,2337.7,2414.1,2.7,137.36,2200.0,7.552
61876,1.8798,128.7,34.655701,2338.4,2418.8,2.66,141.2,2399.8,7.5630002
61877,1.7258,135.4,34.6646,2337.9,2421.1,2.63,142.88,2600.8,7.5710001
61878,1.6361,140.3,34.6702,2334.2,2423.9,2.6,143.53,2799.6,7.5799999
61879,1.6074,142.4,34.673302,2334.3,2423.5,2.59,143.47,3000.7,7.5819998
61880,1.5717,145.4,34.677299,2331.4,2427.6,2.56,142.92,3249.8,7.5879998
61881,1.5741,147.0,34.678902,2334.1,2424.6,2.57,143.51,3502.4,7.5910001
61882,1.5369,150.9,34.683399,2331.6,2428.6,2.55,143.02,3749.9,7.5999999
61883,1.5329,153.0,34.6856,2329.3,2424.6,2.54,142.81,4000.3,7.6009998
61884,1.5338,155.4,34.687199,2326.1,2425.3,2.53,142.22,4248.5,7.6040001
61885,1.5504,156.6,34.687801,2326.7,2426.3,2.52,141.84,4500.4,7.605
61886,1.5707,157.4,34.688099,2322.6,2424.1,2.52,141.65,4749.9,7.6059999
61887,1.5733,157.4,34.688202,2325.8,2422.9,2.51,141.53,4775.5,7.6040001
61888,1.5733,157.4,34.688202,2327.1,2422.5,2.52,141.46,4775.7,7.6059999
61925,29.7045,195.9,34.077,1892.1,2245.9,0.13,0.8,10.8,8.1540003
61926,29.9934,196.8,34.800701,1938.2,2300.0,0.19,0.75,50.2,8.1389999
61927,27.1075,150.9,35.3573,2040.5,2330.1,0.61,2.28,100.5,8.0120001
61929,24.0123,133.4,35.5112,2080.3,2341.8,0.77,2.9,150.4,7.9530001
61932,19.3591,134.8,35.543301,2119.7,2342.8,0.96,4.4,200.4,7.8829999
61933,15.4645,141.5,35.233799,2138.1,2325.4,1.19,7.65,250.5,7.8189998
61936,11.4979,140.4,34.865101,2166.6,2312.4,1.57,16.43,300.0,7.7309999
61938,10.3324,113.0,34.753899,2194.8,2314.8,1.89,23.32,399.6,7.6560001
61940,8.8137,132.7,34.651402,2196.3,2310.9,1.98,26.23,500.9,7.6479998
61942,6.5767,132.3,34.538799,2222.9,2316.6,2.28,40.56,599.7,7.6030002
61943,6.1229,119.3,34.533001,2240.2,2328.6,2.43,49.15,700.3,7.573
61946,5.624,99.0,34.538502,2265.3,2337.2,2.64,60.61,799.8,7.533
61947,5.0866,109.8,34.536301,2268.5,2344.2,2.6,68.28,900.8,7.546
61949,4.4075,105.4,34.550701,2287.7,2362.0,2.69,83.03,1000.0,7.5339999
61951,3.8259,104.2,34.5686,2303.9,2375.0,2.75,96.35,1200.3,7.5279999
61953,3.1291,104.8,34.596699,2323.4,2394.7,2.78,113.98,1401.2,7.527
61955,2.7176,111.1,34.613998,2328.2,2402.2,2.75,122.99,1601.5,7.5349998
61956,2.4266,116.2,34.627998,2332.0,2407.3,2.72,129.46,1801.4,7.5430002
61957,2.2252,119.2,34.6381,2335.7,2413.8,2.71,134.08,2001.5,7.5469999
61958,2.0928,122.9,34.644901,2336.7,2417.8,2.69,136.92,2201.6,7.552
61959,1.8641,129.5,34.656399,2335.8,2423.0,2.65,140.81,2400.4,7.5630002
61960,1.8627,129.7,34.656601,2335.4,2422.0,2.65,141.11,2436.9,7.5630002
62033,29.7957,195.3,34.1255,1895.2,2251.1,0.13,0.8,9.0,8.1520004
62035,29.973,196.8,34.871201,1946.1,2299.7,0.2,0.73,50.6,8.1359997
62036,26.9837,149.9,35.3521,2045.5,2327.8,0.64,2.25,100.3,8.0089998
62037,21.868,133.5,35.6022,2099.1,2343.2,0.82,3.07,150.7,7.9320002
62038,18.6033,137.3,35.473701,2122.8,2334.8,1.01,5.08,200.5,7.8699999
62040,14.5021,142.3,35.1478,2142.6,2318.6,1.25,8.94,251.8,7.803
62041,11.1727,136.2,34.825401,2171.0,2310.6,1.63,18.2,299.8,7.7179999
62044,9.9877,140.7,34.7393,2179.5,2303.7,1.76,19.77,400.0,7.691
62046,8.4908,161.7,34.623901,2180.8,2305.2,1.83,21.89,499.5,7.6849999
62047,6.5601,140.2,34.5336,2219.2,2315.6,2.23,39.53,600.9,7.6139998
62049,5.9198,119.8,34.532299,2244.8,2323.8,2.45,51.89,699.3,7.5700002
62051,5.481,114.6,34.532902,2258.2,2334.6,2.54,59.67,802.2,7.5560002
62053,4.8321,116.3,34.534302,2269.7,2346.5,2.58,70.21,900.3,7.553
62055,4.4341,103.5,34.551399,2290.9,2359.5,2.71,83.27,999.8,7.5310001
62057,3.7178,101.4,34.574799,2310.4,2376.4,2.78,100.35,1201.5,7.5229998
62059,3.2635,103.7,34.591499,2321.5,2386.0,2.78,111.12,1400.6,7.5240002
62061,2.8325,109.4,34.609798,2326.5,2399.0,2.76,120.47,1600.3,7.5320001
62063,2.4585,115.5,34.6264,2333.4,2405.4,2.73,128.65,1799.8,7.5409999
62065,2.2633,118.8,34.636002,2335.7,2409.3,2.72,133.31,2002.9,7.546
62067,2.0327,123.2,34.6478,2339.3,2415.8,2.7,139.06,2202.6,7.5549998
62105,29.9934,195.4,34.030602,1888.7,2241.6,0.13,0.82,9.8,8.1540003
62110,29.8622,196.0,34.537601,1923.2,2277.7,0.16,0.79,49.8,8.1429996
62111,27.9903,160.8,35.422901,2021.6,2328.1,0.55,1.73,99.7,8.0389996
62114,22.5729,132.4,35.5522,2093.9,2340.5,0.83,3.24,149.9,7.9289999
62117,17.6494,139.6,35.3988,2121.9,2333.5,1.01,5.34,200.0,7.8660002
62120,15.2666,141.2,35.213902,2138.0,2323.1,1.21,8.03,251.6,7.8169999
62123,11.5887,138.6,34.8722,2165.5,2309.0,1.58,16.52,299.7,7.7309999
62126,10.0338,138.8,34.742298,2173.8,2305.9,1.76,19.72,400.1,7.6919999
62130,8.927,168.2,34.6563,2168.4,2300.9,1.74,18.38,500.3,7.7049999
62132,6.7556,127.6,34.546799,2221.6,2315.1,2.29,39.99,600.5,7.598
62135,5.9722,121.0,34.5312,2240.8,2327.9,2.44,50.84,699.9,7.5739999
62138,5.7222,115.2,34.532902,2246.4,2330.7,2.5,54.88,727.8,7.5619998
62141,29.8664,199.4,34.290699,1901.0,2256.9,0.1,0.95,10.2,8.151
62142,29.6986,193.0,34.909901,1953.4,2303.0,0.23,0.89,50.0,8.125
62143,27.6666,155.6,35.313202,2032.8,2327.5,0.58,1.94,100.0,8.0270004
62144,21.6256,133.5,35.5788,2098.0,2340.8,0.83,3.21,150.4,7.927
62146,18.2935,137.5,35.430599,2121.9,2330.0,1.03,5.63,200.4,7.8610001
62148,15.4593,143.9,35.233501,2133.9,2321.7,1.16,7.41,250.3,7.8249998
62151,13.0301,143.9,35.012001,2152.0,2314.5,1.44,12.62,300.5,7.7649999
62154,10.2797,144.1,34.766102,2172.0,2306.3,1.71,18.32,401.4,7.704
62159,8.9273,154.2,34.659599,2179.8,2305.6,1.83,21.54,500.2,7.6849999
62161,7.0474,141.7,34.5546,2207.5,2311.3,2.15,34.68,601.7,7.6269999
62164,6.0528,128.7,34.5294,2234.6,2324.0,2.38,48.47,699.8,7.5879998
62166,5.2581,118.9,34.530102,2257.6,2337.0,2.53,62.86,802.2,7.5619998
62170,4.843,115.4,34.536098,2268.7,2344.2,2.58,71.36,902.4,7.552
62213,29.6231,195.6,34.1978,1899.1,2253.4,0.13,0.88,9.9,8.1499996
62214,28.7011,194.1,34.331799,1916.9,2259.6,0.08,1.37,50.0,8.1300001
62215,26.9486,167.7,35.014099,1993.1,2302.7,0.36,1.47,99.6,8.059
62216,22.9918,146.6,35.506802,2070.5,2332.3,0.66,2.41,150.0,7.9679999
62218,18.7767,146.4,35.467499,2104.2,2333.6,0.87,4.04,200.3,7.902
62219,13.1616,147.7,35.0345,2149.5,2314.2,1.36,10.25,249.6,7.7820001
62220,11.1894,140.4,34.847301,2168.7,2308.1,1.62,16.34,299.9,7.7249999
62221,10.0215,150.7,34.746601,2170.9,2302.6,1.7,17.66,400.2,7.7080002
62222,8.5449,166.6,34.628502,2173.8,2302.6,1.78,19.91,500.4,7.697
62225,6.9675,145.4,34.549999,2207.4,2311.8,2.13,34.13,601.2,7.632
62226,5.8651,150.9,34.503899,2218.8,2316.5,2.24,42.99,699.9,7.6199999
62231,5.4804,127.5,34.524101,2244.5,2332.7,2.45,56.01,800.7,7.5799999
62234,4.6533,116.1,34.538601,2272.0,2346.7,2.6,74.22,900.8,7.5539999
62237,4.2094,105.1,34.557598,2293.0,2363.7,2.71,87.65,1001.3,7.5339999
62240,3.749,105.3,34.5728,2305.5,2375.5,2.74,98.47,1200.6,7.5310001
62243,3.2464,108.0,34.591999,2315.8,2389.8,2.75,110.1,1401.2,7.5339999
62246,2.8134,109.4,34.611301,2329.0,2405.3,2.75,121.54,1600.6,7.5359998
62247,2.5143,111.9,34.624901,2335.5,2408.2,2.75,128.58,1707.3,7.539
62285,29.3376,199.4,34.164299,1895.1,2250.7,0.07,0.95,10.1,8.151
62286,28.5343,184.6,34.384899,1936.0,2266.8,0.15,1.35,50.2,8.1099997
62287,27.0275,157.1,35.034,2003.6,2304.9,0.43,1.71,100.0,8.0430002
62288,22.168,143.8,35.556702,2079.4,2338.9,0.71,2.55,150.5,7.9549999
62290,17.5055,151.3,35.374699,2114.4,2328.2,0.98,5.28,199.7,7.8740001
62291,14.3202,156.3,35.136398,2129.5,2321.7,1.17,7.62,252.3,7.8249998
62294,12.988,153.6,35.0186,2147.4,2316.8,1.38,11.08,300.3,7.776
62295,10.1325,158.7,34.7598,2164.8,2308.3,1.66,16.16,399.9,7.7199998
62297,8.2683,162.6,34.611,2177.7,2304.9,1.86,21.83,500.3,7.684
62299,6.6616,158.8,34.522999,2199.8,2312.6,2.1,33.13,601.2,7.6440001
62301,6.048,153.3,34.507099,2213.4,2317.9,2.22,40.76,701.1,7.6259999
62303,5.19,146.3,34.500702,2233.8,2331.1,2.35,54.13,800.8,7.6030002
62305,4.8422,133.0,34.519199,2252.9,2341.0,2.48,64.7,901.0,7.579
62307,4.4941,124.1,34.534199,2268.8,2350.8,2.57,75.08,1002.0,7.5630002
62309,3.7576,113.6,34.567001,2297.6,2377.5,2.68,95.32,1202.3,7.5430002
62311,3.1665,108.6,34.5952,2318.9,2393.7,2.75,112.47,1399.8,7.5349998
62313,2.7819,109.3,34.612999,2329.2,2401.7,2.76,122.4,1600.2,7.5359998
62315,2.4462,113.0,34.628399,2334.7,2411.0,2.75,130.34,1801.0,7.54
62317,2.2329,117.7,34.638199,2335.8,2412.1,2.73,134.47,2003.1,7.546
62319,2.1606,120.1,34.641899,2335.3,2413.7,2.71,136.06,2173.1,7.5489998
62358,28.5817,198.6,34.176701,1900.5,2253.4,0.05,1.72,10.2,8.1420002
62359,28.6535,197.9,34.230701,1910.4,2258.0,0.06,1.8,50.1,8.1389999
62362,27.0353,169.6,34.831299,1994.7,2300.4,0.27,1.54,100.0,8.0570002
62364,21.9332,146.1,35.532001,2080.1,2339.9,0.7,2.68,150.1,7.9520001
62366,19.4113,146.8,35.509998,2099.8,2336.7,0.81,3.5,199.8,7.915
62370,15.9839,152.5,35.2864,2118.9,2328.7,1.01,5.77,249.1,7.8579998
62371,14.4629,154.9,35.151001,2131.5,2318.0,1.18,7.87,300.0,7.8189998
62374,10.5588,165.1,34.799999,2154.3,2304.2,1.52,13.62,399.1,7.7449999
62378,7.4032,170.8,34.549198,2180.9,2309.5,1.9,24.91,600.1,7.678
62380,6.1759,167.4,34.4963,2198.7,2315.9,2.08,35.15,699.2,7.6500001
62381,5.4417,156.0,34.492298,2220.9,2325.1,2.25,47.44,799.6,7.6199999
62384,4.7763,144.3,34.511101,2243.2,2339.8,2.39,61.95,900.3,7.5960002
62385,4.5868,137.1,34.520401,2255.4,2342.0,2.46,68.45,1000.2,7.5840001
62387,3.7702,108.8,34.569901,2300.1,2376.7,2.71,96.99,1202.4,7.5370002
62389,3.3483,107.8,34.587502,2313.4,2388.1,2.74,108.0,1386.5,7.5339999
62393,28.8179,197.7,34.196499,1904.0,2255.5,0.07,1.69,10.2,8.1389999
62394,27.8365,188.4,34.558701,1940.7,2274.7,0.15,1.52,50.4,8.1110001
62398,26.6269,163.3,34.939301,2008.2,2315.1,0.41,1.74,100.6,8.0430002
62400,22.2712,146.6,35.516102,2071.5,2337.2,0.64,2.35,152.0,7.967
62404,18.7133,147.9,35.4716,2103.1,2336.5,0.82,3.78,203.8,7.9070001
62406,17.1536,149.3,35.365799,2116.9,2326.5,0.96,5.32,251.5,7.8699999
62409,14.3225,154.3,35.1353,2138.0,2319.0,1.23,8.72,300.9,7.8070002
62412,10.2187,161.8,34.768501,2160.5,2308.2,1.58,14.94,402.6,7.7329998
62417,8.3284,169.8,34.615799,2174.5,2306.2,1.79,20.83,501.2,7.697
62419,7.2772,169.5,34.548698,2185.9,2306.3,1.93,26.89,599.8,7.6739998
62421,6.6644,167.3,34.517601,2194.5,2311.8,2.02,31.8,700.6,7.6589999
62427,5.3108,152.8,34.5051,2226.6,2326.7,2.26,49.61,818.8,7.6170001
62450,17.6584,245.5,33.438099,1971.0,2239.0,0.23,3.4,10.2,8.0290003
62451,17.348,269.2,33.426102,2010.1,2243.6,0.62,9.3,30.5,7.96
62452,4.8852,306.0,33.323101,2121.1,2251.8,1.73,31.4,51.0,7.7150002
62453,3.7995,292.3,33.381802,2140.6,2248.6,1.85,37.9,76.0,7.6680002
62454,3.2329,288.6,33.3895,2148.0,2249.6,1.91,41.3,100.8,7.6500001
62455,2.943,274.0,33.408501,2161.4,2253.2,2.01,46.1,126.6,7.6199999
62456,3.0196,243.8,33.477798,2182.5,2260.7,2.14,52.1,151.4,7.5780001
62457,3.3769,170.4,33.667301,2232.7,2276.3,2.48,67.8,201.3,7.474
62458,3.3428,131.8,33.752102,2262.4,2288.3,2.68,78.7,251.9,7.4099998
62459,3.8668,93.4,33.9352,2285.4,2299.2,2.78,86.5,304.5,7.3839998
62461,3.6433,46.8,34.171398,2333.8,2331.3,3.01,112.2,504.9,7.335
62462,3.5042,42.0,34.253101,2341.6,2348.0,3.04,120.0,606.9,7.3410001
62464,3.0045,35.6,34.3484,2362.7,2364.8,3.1,135.7,809.1,7.3379998
62465,2.6957,35.8,34.415901,2371.0,2377.4,3.12,145.9,1010.6,7.3449998
62466,2.1742,47.2,34.531502,2383.7,2401.4,3.07,161.3,1517.4,7.3779998
62468,1.6462,105.7,34.6446,2356.8,2414.1,2.79,160.5,2535.1,7.5
62469,1.5303,127.8,34.666401,2339.5,2413.2,2.68,154.7,3045.6,7.5430002
62470,1.4729,141.9,34.678699,2329.1,2416.3,2.61,150.9,3558.0,7.5689998
62471,1.4618,150.5,34.685299,2325.6,2410.4,2.57,148.3,4074.8,7.5809999
62472,1.4803,156.1,34.689499,2316.0,2416.9,2.53,147.4,4587.7,7.592
62473,1.5272,158.0,34.691101,2320.4,2412.1,2.53,147.2,5100.8,7.5949998
62474,1.5605,158.3,34.691299,2317.8,2409.3,2.52,148.2,5386.3,7.5890002
62484,19.2181,245.1,33.602699,1976.5,2240.9,0.18,5.0,9.2,8.0200005
62485,12.8924,309.2,33.7658,2023.4,2254.1,0.58,10.9,30.0,7.9510002
62486,9.9675,262.2,33.9151,2084.7,2258.3,1.01,18.2,50.0,7.8330002
62487,9.0783,224.4,34.088799,2111.3,2263.7,1.2,23.4,76.0,7.776
62488,8.7851,227.5,34.0714,2115.6,2264.3,1.21,24.0,100.6,7.7719998
62489,8.51,201.0,34.089001,2140.3,2270.0,1.44,31.4,126.4,7.724
62490,7.1941,252.9,33.900799,2122.5,2262.0,1.32,26.9,151.6,7.7509999
62491,6.2573,273.9,33.7976,2118.6,2257.3,1.35,27.5,201.5,7.7480001
62492,5.6688,241.8,33.772301,2147.6,2261.6,1.63,36.6,255.5,7.684
62493,5.1345,178.6,33.821701,2198.7,2273.4,2.1,53.2,304.8,7.5669999
62494,4.3319,126.7,33.879902,2250.5,2287.2,2.51,72.4,406.3,7.4569998
62495,4.2154,82.3,34.032501,2289.6,2307.1,2.77,89.2,505.6,7.3940001
62496,4.1862,64.8,34.167801,2310.0,2324.0,2.85,100.2,608.1,7.3889999
62498,3.5069,44.9,34.306801,2341.4,2351.1,3.01,121.8,808.1,7.3639998
62499,3.0692,40.3,34.395901,2361.5,2367.8,3.06,134.4,1009.6,7.3649998
62500,2.2992,46.9,34.521599,2380.2,2393.5,3.06,156.1,1518.9,7.3850002
62501,1.9179,74.5,34.598202,2371.2,2406.6,2.93,160.5,2027.2,7.4419999
62502,1.6694,106.1,34.642899,2355.2,2410.3,2.78,157.7,2534.8,7.5050001
62503,1.5437,127.3,34.665199,2338.5,2412.9,2.66,153.5,3046.3,7.546
62504,1.4797,141.5,34.677898,2332.0,2410.2,2.59,150.4,3557.4,7.5700002
62505,1.4628,150.8,34.685001,2326.8,2411.7,2.54,147.6,4068.8,7.5869999
62506,1.4778,156.5,34.6894,2319.0,2408.3,2.51,146.3,4584.5,7.5960002
62507,1.5165,160.5,34.6917,2317.2,2407.6,2.49,143.8,5100.4,7.6009998
62518,10.2888,286.4,32.857498,2037.8,2231.3,1.26,14.6,10.7,7.8839998
62519,10.2846,286.4,32.855801,2035.4,2231.8,1.26,14.6,28.7,7.8839998
62520,7.1048,299.1,32.979301,2083.6,2238.0,1.66,27.4,50.5,7.7930002
62521,2.1422,318.5,33.141499,2145.5,2241.0,2.16,49.1,75.8,7.6269999
62522,1.5324,317.4,33.193298,2154.9,2242.9,2.2,50.6,102.3,7.612
62523,1.5086,298.7,33.2421,2166.4,2249.8,2.26,53.6,125.6,7.585
62524,2.1502,215.4,33.450699,2219.3,2261.8,2.56,67.2,153.2,7.4710002
62525,3.0981,89.1,33.754002,2295.5,2285.7,2.99,88.2,203.3,7.3060002
62526,3.2425,60.0,33.8713,2316.5,2299.6,3.06,97.7,252.1,7.2789998
62527,3.2368,46.6,33.951199,2329.9,2309.1,3.11,104.9,304.6,7.2719998
62528,3.373,36.9,34.110199,2343.2,2328.7,3.09,115.4,405.6,7.2930002
62529,3.2502,21.8,34.188599,2357.5,2340.5,3.16,125.4,508.0,7.277
62530,3.068,20.2,34.250801,2366.7,2351.1,3.17,133.5,609.5,7.2839999
62532,2.8001,23.8,34.357101,2376.0,2368.6,3.15,144.6,809.4,7.3080001
62533,2.5586,23.1,34.4314,2387.0,2383.3,3.15,154.7,1008.8,7.316
62534,2.0901,49.8,34.546001,2384.1,2402.8,3.03,164.3,1518.6,7.3800001
62535,1.7984,80.8,34.612099,2370.3,2411.6,2.88,165.0,2027.7,7.448
62536,1.6157,111.1,34.648602,2352.4,2414.2,2.74,158.3,2537.9,7.507
62538,1.4729,142.4,34.6777,2331.7,2412.8,2.57,150.7,3564.8,7.5650001
62539,1.4599,151.2,34.684601,2324.0,2413.1,2.53,148.1,4081.4,7.5799999
62540,1.4787,156.3,34.688599,2318.0,2410.5,2.5,147.4,4585.4,7.5879998
62541,1.5263,158.1,34.689999,2319.5,2411.9,2.49,147.8,5096.3,7.592
62542,1.5465,158.4,34.6903,2318.3,2411.8,2.49,148.9,5277.9,7.592
62552,10.3193,282.4,32.599499,2012.3,2202.3,1.08,10.1,10.4,7.868
62553,10.2975,282.3,32.598202,2015.1,2202.2,1.11,10.5,30.5,7.8649998
62554,4.8181,296.4,32.921902,2105.1,2218.5,1.97,39.2,50.3,7.6830001
62555,3.5071,300.4,33.075901,2129.8,2228.4,2.15,49.9,75.0,7.6290002
62556,3.3547,281.3,33.181,2154.7,2237.2,2.28,55.3,100.8,7.585
62557,3.7982,224.9,33.328098,2191.4,2243.4,2.42,61.3,125.6,7.506
62558,4.1156,166.5,33.483799,2227.8,2255.0,2.59,68.7,152.3,7.4299998
62559,4.208,100.7,33.710098,2270.3,2274.0,2.8,78.4,204.2,7.3379998
62560,4.0962,69.0,33.828499,2295.6,2283.0,2.95,84.9,252.1,7.2909999
62561,3.9538,46.9,33.918499,2317.7,2292.4,3.05,92.5,305.4,7.263
62562,3.8149,27.0,34.031502,2337.3,2306.7,3.14,102.7,403.4,7.2449999
62563,3.6352,20.9,34.132999,2350.5,2324.4,3.15,113.2,507.5,7.2550001
62564,3.458,18.8,34.2038,2360.1,2336.3,3.15,121.6,608.3,7.2659998
62566,3.131,17.9,34.301601,2373.6,2354.3,3.16,134.4,809.4,7.2800002
62567,2.8296,19.1,34.377998,2381.3,2367.2,3.16,145.1,1011.2,7.2909999
62568,2.2139,38.0,34.518902,2390.6,2393.1,3.08,162.6,1520.6,7.3439999
62569,1.869,68.0,34.594002,2378.9,2403.8,2.94,167.5,2025.9,7.408
62570,1.6691,97.8,34.636101,2362.1,2408.6,2.8,165.1,2539.5,7.4679999
62571,1.5548,122.3,34.6604,2347.3,2412.1,2.68,158.0,3049.2,7.5170002
62572,1.5099,136.0,34.672199,2337.8,2409.7,2.61,154.0,3561.4,7.5419998
62573,1.4879,146.7,34.6805,2328.6,2410.3,2.56,150.8,4074.0,7.5599999
62574,1.4998,153.1,34.685398,2324.7,2408.2,2.52,149.3,4589.6,7.573
62575,1.5112,155.7,34.687801,2323.9,2410.5,2.51,151.0,4866.6,7.5780001
62577,10.2278,289.3,32.878601,2044.1,2220.2,1.38,24.9,10.9,7.849
62578,10.1471,293.0,32.8783,2059.8,2225.8,1.48,27.3,30.9,7.8140001
62579,2.7645,319.0,33.098999,2120.4,2231.5,1.87,37.8,51.1,7.6789999
62580,2.5408,319.4,33.130798,2124.4,2233.0,1.88,38.9,76.7,7.6739998
62581,2.732,308.8,33.215401,2133.3,2241.6,1.91,40.5,102.2,7.6599998
62582,3.8859,295.5,33.448502,2134.3,2248.1,1.76,37.8,126.6,7.6789999
62583,4.066,285.0,33.503799,2140.1,2253.0,1.76,38.9,152.3,7.671
62584,3.2674,170.8,33.6297,2231.7,2272.8,2.49,67.3,202.5,7.4569998
62585,3.2694,119.1,33.750801,2271.6,2285.6,2.75,80.6,253.0,7.3730001
62586,3.2574,75.3,33.842098,2303.8,2294.6,2.99,92.6,304.3,7.2979999
62587,3.3903,47.1,34.0145,2327.4,2313.7,3.08,106.7,404.5,7.283
62588,3.3638,38.9,34.119499,2344.0,2327.6,3.09,115.6,506.3,7.2919998
62589,3.3175,31.9,34.204601,2352.4,2339.5,3.11,122.9,606.4,7.2969999
62591,3.0502,30.3,34.327599,2365.3,2358.7,3.13,135.2,809.7,7.3169999
62592,2.7568,30.7,34.403301,2374.1,2373.0,3.12,144.9,1011.6,7.3249998
62593,2.1924,40.2,34.5215,2387.1,2394.4,3.09,163.8,1518.3,7.3520002
62594,1.872,69.5,34.5966,2376.7,2406.1,2.97,166.9,2027.7,7.4180002
62595,1.6741,100.8,34.638302,2358.7,2410.8,2.82,161.7,2536.2,7.4809999
62596,1.5577,123.3,34.6609,2343.6,2413.2,2.71,156.1,3047.9,7.5229998
62597,1.4994,138.4,34.673801,2332.8,2411.8,2.62,151.9,3559.1,7.5500002
62598,1.4797,148.1,34.681599,2327.7,2411.8,2.56,149.5,4073.0,7.5669999
62599,1.4935,154.2,34.686199,2320.0,2409.6,2.53,148.1,4588.4,7.579
62600,1.5325,157.3,34.688499,2320.7,2410.3,2.52,148.2,5104.4,7.5840001
62601,1.6433,158.0,34.688999,2321.4,2409.7,2.51,149.4,5981.5,7.586
62611,10.6757,285.3,32.7897,2026.1,2216.0,1.23,13.5,10.4,7.8790002
62612,10.5966,298.2,32.787102,2062.8,2223.3,1.53,23.6,30.6,7.8070002
62613,3.6432,321.6,33.062801,2118.9,2231.4,1.98,41.0,50.8,7.6830001
62614,2.2253,320.6,33.097301,2130.0,2228.6,2.02,43.4,76.6,7.6490002
62615,1.848,316.3,33.148998,2139.7,2236.2,2.08,46.0,101.2,7.632
62616,1.8438,288.9,33.241901,2162.3,2244.5,2.23,51.7,127.0,7.5869999
62617,2.3176,212.1,33.426498,2210.6,2255.0,2.49,63.5,152.6,7.4780002
62618,3.3113,69.7,33.793999,2304.6,2283.7,3.06,89.9,201.3,7.2719998
62619,3.4489,44.1,33.909401,2324.1,2297.7,3.14,98.3,254.1,7.25
62620,3.4966,31.7,33.999199,2336.3,2307.6,3.17,105.4,306.1,7.2480001
62621,3.3924,32.0,34.0937,2342.4,2320.1,3.14,114.5,406.4,7.2719998
62622,3.3637,27.2,34.183399,2349.9,2334.3,3.14,121.6,508.3,7.2839999
62623,3.1937,23.9,34.261799,2361.6,2346.8,3.15,130.1,607.4,7.29
62625,2.9116,26.0,34.3521,2371.8,2363.8,3.15,140.8,810.5,7.309
62626,2.5983,24.7,34.424702,2383.6,2375.0,3.16,152.5,1013.7,7.3130002
62627,2.1164,48.1,34.5411,2382.5,2397.9,3.06,163.1,1521.3,7.3709998
62628,1.7942,81.3,34.6106,2367.1,2406.4,2.9,163.9,2027.5,7.4400001
62629,1.6835,95.9,34.630402,2359.5,2407.1,2.83,162.7,2219.9,7.4689999
62631,11.0565,282.1,32.673698,2017.8,2207.7,1.19,10.5,10.9,7.8559999
62632,11.0055,282.2,32.672901,2020.9,2207.1,1.2,10.9,30.6,7.8520002
62633,5.092,319.3,33.024399,2093.8,2227.7,1.74,34.4,51.9,7.717
62634,3.624,313.6,33.0867,2112.4,2227.5,1.84,37.3,76.4,7.671
62635,2.728,313.8,33.122898,2125.4,2232.7,1.92,39.9,102.4,7.6479998
62636,2.3825,304.3,33.1786,2140.3,2236.4,2.04,44.6,125.8,7.619
62637,2.5264,254.0,33.330101,2174.4,2249.1,2.26,53.7,152.2,7.5440001
